Height,Weight
174,96
189,87
185,110
195,104
149,61
189,104
147,92
154,111
174,90
169,103
195,81
159,80
192,101
155,51
191,79
153,107
157,110
140,129
144,145
172,139
157,110
153,149
169,97
185,139
172,67
151,64
190,95
187,62
163,159
179,152
153,121
178,52
195,65
160,131
157,153
189,132
197,114
144,80
171,152
185,81
175,120
149,108
157,56
161,118
182,126
185,76
188,122
181,111
161,72
140,152
168,135
176,54
163,110
172,105
196,116
187,89
172,92
178,127
164,70
143,88
191,54
141,143
193,54
190,83
175,135
179,158
172,96
168,59
164,82
194,136
153,51
178,117
141,80
180,75
185,100
197,154
165,104
168,90
176,122
181,51
164,75
166,140
190,105
186,118
168,123
198,50
175,141
145,117
159,104
185,140
178,154
183,96
194,111
177,61
197,119
170,156
142,69
160,139
195,69
190,50
199,156
154,105
161,155
198,145
192,140
195,126
166,160
159,154
181,106
149,66
150,70
146,157
190,135
192,90
177,96
148,60
165,57
146,104
144,108
176,156
168,87
187,122
187,138
184,160
158,149
158,96
194,115
145,79
182,151
154,54
168,139
187,70
158,153
167,110
171,155
183,150
190,156
194,108
171,147
159,124
169,54
167,85
180,149
163,123
140,79
197,125
194,106
140,146
195,98
168,115
196,50
140,52
150,60
168,140
155,111
179,103
182,84
168,160
187,102
181,105
199,99
184,76
192,101
182,143
172,111
181,78
176,109
156,106
151,67
188,80
187,136
174,138
167,151
196,131
197,149
185,119
170,102
181,94
166,126
188,100
162,74
177,117
162,97
180,73
192,108
165,80
167,135
182,84
161,134
158,95
141,85
154,100
165,105
142,137
141,94
145,108
157,74
177,117
166,144
193,151
