MaSV,KTMT,PCB,CTDL,CSKTLT,HDH,CSDL,HDT,WF,MMT,CNPM,DA1,HQT,PNC,TRR
SV01,7.8,9.1,8.2,7.7,7.0,6.7,8.1,7.3,7.4,7.8,8.0,7.6,9.6,7.6
SV02,8.8,9.3,9.2,9.4,8.0,7.3,8.8,7.3,7.3,8.3,9.2,7.6,9.3,7.6
SV03,8.1,8.5,7.2,7.4,7.3,6.6,6.5,2.8,6.1,5.8,7.2,6.8,7.8,5.8
SV04,6.1,8.5,6.7,6.7,5.6,6.6,7.6,6.6,7.0,3.6,7.1,6.5,8.3,5.8
SV05,8.8,8.6,9.1,8.5,7.3,8.1,8.7,8.3,8.1,8.1,8.1,9.1,9.1,6.3
SV06,5.3,6.3,6.5,6.7,6.6,6.6,7.2,6.8,7.1,6.3,4.0,5.2,6.8,5.3
SV07,7.6,9.6,9.0,8.5,6.1,6.7,8.1,6.8,8.0,8.1,8.2,6.5,8.6,8.1
SV08,8.3,7.6,7.3,7.0,5.8,6.6,8.2,7.3,7.7,0.3,7.5,6.1,7.6,0.3
SV09,8.3,7.8,8.1,7.9,6.7,6.6,7.3,6.1,7.6,9.1,7.8,7.6,8.8,6.1
SV10,8.6,9.1,8.1,8.8,8.6,8.6,8.2,6.8,7.1,9.1,7.5,7.9,9.1,9.3
SV11,8.1,7.6,7.7,8.3,6.1,6.9,7.7,6.1,8.4,7.1,7.7,8.0,8.3,6.1
SV12,7.1,8.1,8.2,7.8,5.6,6.2,7.8,5.3,7.2,8.3,8.6,8.3,7.8,6.8
SV13,7.6,7.8,6.3,6.5,7.3,6.0,6.3,4.8,6.6,6.3,8.5,7.4,7.8,5.8
SV14,6.3,8.1,7.1,6.9,6.8,6.3,5.3,5.8,7.6,7.6,8.0,8.5,8.1,6.1
SV15,8.1,8.1,7.5,6.0,6.3,5.9,6.0,6.6,5.3,8.3,7.7,8.1,8.1,6.6
SV16,6.8,8.2,7.0,7.4,6.1,6.6,7.1,6.6,7.6,8.3,8.1,5.4,7.8,6.6
SV17,0.3,0.3,8.7,9.2,7.8,7.2,7.7,9.1,8.3,7.8,8.1,9.4,8.6,6.3
SV18,8.6,9.2,7.8,7.7,6.6,7.6,7.7,8.1,6.2,7.1,7.6,7.6,7.6,5.6
SV19,6.3,7.5,6.7,7.0,6.1,5.6,5.5,7.6,6.0,7.3,6.7,5.4,5.8,6.2
SV20,8.1,8.8,7.3,7.7,7.6,6.2,7.6,7.8,6.4,8.6,8.3,8.2,8.6,8.1
SV21,8.3,8.5,8.3,7.7,7.8,7.4,8.3,8.6,8.3,9.1,8.8,9.1,9.8,7.8
SV22,8.3,8.8,8.2,8.2,6.8,6.6,7.6,6.3,8.0,7.1,8.1,7.0,8.3,6.3
SV23,4.8,7.1,6.2,7.5,5.6,6.0,7.2,2.8,7.2,0.3,7.6,5.3,8.1,5.6
